Index	X Position	Y Position	Mass	X Velocity	Y Veloity
1	0.0	0.0	201321.14518380992	Fixed	Fixed
2	20205.98839819469	8827.318094384005	55.80339227445847	6.766157019628141	0.34068049132479067
3	26914.6000224864	-40893.70964576357	7.450201173427658	4.165575431408548	-3.691915266736016
4	-19922.089170324427	-11369.103271051088	7.450201173427658	2.8845409358703638	-7.9844408055797125
5	36455.647189404466	-29949.541682001123	18.997412419252175	1.017680622702003	1.0109052269255416
6	-10456.055605053072	3631.184285234816	22.350603520282974	-15.185595093043625	-8.126590241947447
7	37024.81808894968	26736.974395296234	45.0	5.201183393708101	-0.4930732570305489
8	-46431.547292053554	-59622.20547239144	1.0E-7	-2.473428253380305	1.0200743519331155
9	-33210.84128280716	34133.20899315507	5.118478124999079	-2.2570379828596154	-3.101738859164756
10	34400.56374328344	28112.206616566342	11.175301760141487	0.308971800770023	-1.7701448878804138
11	36109.83907186807	-53347.9782111403	28.947395834940927	-0.6309367115055889	-2.214825464654373
12	23124.45965859794	-23009.378465404534	11.175301760141487	-5.186124480117941	3.6650429518057854
13	-11484.639417677026	-28688.34584304324	27.654653891594045	3.0568943752174524	0.7298517100206945
14	12626.947167135308	-45253.15678043016	28.754256941356573	3.263182773962907	1.159399513186715
15	-9962.222687926835	-6181.64782149083	24.866804462637305	-7.4572078348095445	-11.849915034827013
16	-16953.809100684924	55451.790126464184	0.07462089939218312	-0.7132230237551351	0.6360389005569986
17	12837.372125350677	-47114.44496759845	0.20546212775156533	2.098312938873678	2.595890346317308
